EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
1.10462,0.19468,-0.27308,0.47144,1.03157
1.93664,0.53514,-0.61358,0.95195,1.81786
1.21843,0.60363,-0.51537,0.57966,1.13173
0.83543,0.29462,-0.27685,0.34158,0.77303
0.54083,-0.08432,-0.01741,0.14253,0.50010
-0.81339,-0.05494,0.22135,-0.57055,-0.79151
-1.29751,-0.09830,0.33525,-0.83064,-1.25199
-0.44964,-0.35270,0.31181,-0.40898,-0.43805
0.46983,0.10420,-0.10890,0.13325,0.42952
0.95165,0.45226,-0.38854,0.43119,0.88207
2.46114,-0.02251,-0.41818,1.17874,2.33150
3.43731,-0.21372,-0.50037,1.67673,3.26662
1.01984,0.05001,-0.18849,0.42906,0.95666
-1.22642,0.24853,0.12619,-0.73520,-1.18867
-1.57954,0.14003,0.24958,-0.93145,-1.52259
-1.40465,0.16225,0.20284,-0.83251,-1.35574
-0.04040,0.38243,-0.17492,-0.08011,-0.05892
0.53210,-0.36066,0.11600,0.14133,0.50289
0.04772,-1.16577,0.63945,-0.20435,0.05831
0.92206,-0.91200,0.33564,0.29285,0.88741
1.67043,-0.27124,-0.15324,0.76826,1.58843
0.36284,0.38734,-0.26434,0.15627,0.32882
-1.78904,0.53294,0.06028,-0.96243,-1.72518
-1.57246,0.46583,0.05321,-0.85039,-1.51652
0.62010,0.51615,-0.38965,0.32259,0.57375
2.15436,-0.07928,-0.36021,1.07202,2.04970
4.20657,-2.22919,0.41001,1.91604,4.05158
5.28742,-4.35474,1.35010,2.24816,5.12683
3.96202,-3.86271,1.33183,1.60818,3.85379
0.41544,-3.40572,1.75103,-0.21298,0.46366
-5.56024,-3.53012,2.94159,-3.38881,-5.23052
-12.13153,-2.27084,3.49808,-6.72005,-11.52115
-17.13968,-3.09587,4.88416,-9.46419,-16.27836
-13.54548,-3.83086,4.60048,-7.63882,-12.83539
-5.76222,-0.79806,1.49514,-3.15704,-5.47605
-6.04175,1.38701,0.36656,-3.04659,-5.78682
-8.63116,2.62968,0.18161,-4.26949,-8.28052
