EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
-8.04101,6.24050,7.41800,18.97122,-4.63192
-8.61959,6.07322,9.23223,31.39574,-2.44675
0.41929,-0.80399,1.34224,14.64043,4.32695
-4.13506,3.15259,4.38303,18.16489,1.97316
-1.52839,0.41159,3.42205,23.99247,6.98160
-2.23779,1.52400,3.10422,16.89163,2.57174
-7.43000,6.85567,5.90763,15.04775,-4.62900
1.18842,-0.71127,-0.19130,10.38013,4.58561
-1.18834,0.83599,1.57948,8.47394,1.32663
-6.71556,5.85201,5.19814,8.13899,-5.20556
-11.91116,8.87393,11.62899,31.32955,-5.26254
-11.99021,6.96532,14.24993,48.32179,-0.32887
-8.49883,4.89023,9.92681,31.83881,-0.61018
-19.28102,15.59138,17.63582,34.35805,-14.21650
-12.19517,7.90490,13.68812,36.43185,-5.11743
-2.54699,-1.62796,6.45333,29.26270,5.54942
-8.19651,4.41383,10.34050,32.66097,-0.06393
-3.62635,0.58896,5.93993,28.10217,4.90873
-3.79318,2.15436,5.09712,26.22194,4.37763
-0.17230,2.34486,-0.78604,6.83605,2.06868
4.11635,0.67232,-6.37544,-11.51144,-0.02492
-5.23028,9.00057,2.94000,10.61033,-5.88332
-10.48011,10.50809,9.92435,32.81538,-4.04154
-15.09302,11.78070,16.73023,42.58586,-7.93112
-8.00461,5.14678,10.22633,34.55725,-3.67328
0.70781,-1.69803,-0.17287,20.32409,7.15371
-6.52797,8.05301,5.40660,20.67380,1.73718
-9.90139,14.18479,7.93100,17.17945,-5.98937
-12.02504,14.68159,11.67027,26.94015,-8.09525
-4.58646,0.70713,7.52148,33.02445,-1.51915
0.90449,-6.71623,2.48982,31.82985,0.54041
-11.56535,8.16191,14.26500,49.88115,-4.06151
-10.42010,6.30793,12.92809,46.57256,-1.37658
-4.57024,4.47214,6.16506,33.00185,-5.92809
-2.93550,6.99844,1.81303,21.16788,-3.76200
-0.82483,3.65917,-0.84634,7.99491,1.30899
-6.11767,9.94287,9.33215,17.10638,-12.47918
-3.36651,4.60815,9.80296,10.16195,-17.26270
-2.90886,2.63621,10.06587,0.83703,-13.66064
-5.35720,6.11122,10.87582,13.56111,-10.31501
-0.10394,-4.38274,2.39699,23.16080,-3.12486
-0.41487,-8.06548,3.48419,30.04337,-2.08131
1.37698,-8.81475,0.97599,16.50222,-0.43482
0.29403,0.07068,0.73847,5.20000,-1.75883
-0.44076,3.84586,2.31186,5.99640,-5.50590
4.39957,-7.10151,-0.62859,4.01362,-8.71266
-1.90174,-0.61320,7.67347,18.20983,-9.36474
-1.74953,-1.08439,-0.14410,11.39216,7.50818
1.82822,-1.50315,-9.68136,2.54583,13.78910
-0.47011,5.02742,-3.53610,17.01105,1.38837
4.33617,-5.95106,-7.80075,14.46463,-1.41358
3.23997,-3.65386,-8.68450,21.12866,-0.16882
-0.95107,5.33740,-7.91788,29.87202,4.40593
-4.66745,11.10388,-1.63509,29.72392,4.34994
-5.14632,10.39708,4.33154,27.53030,-1.42771
1.22469,-1.46735,-5.51986,10.57052,3.89965
-6.89498,15.47396,5.03833,18.43404,4.88327
-11.31191,28.48324,14.21122,20.76401,-0.22947
-3.27743,19.21318,3.96312,8.71479,-3.81155
-6.37806,17.52105,2.01932,30.43518,1.66071
-9.17455,7.86959,0.07916,36.47236,15.90666
-4.21753,5.89985,2.87390,18.53436,3.34041
1.68578,3.60712,3.72411,13.38063,-15.07047
-7.37280,-3.14243,11.50610,35.01772,-1.00682
-24.16903,8.41050,26.76670,51.65466,17.43212
-13.75593,13.08349,9.71140,25.74214,17.21661
0.80763,6.92786,-7.90332,13.29569,2.83904
1.69166,-9.41126,-10.27201,16.50756,8.82844
1.86781,-19.91108,-16.23145,-7.92486,34.72824
1.62403,-6.51808,-12.70247,-18.58669,36.88893
1.76114,-8.00440,-6.68190,-3.28447,16.32142
-8.16468,-6.66015,9.56210,25.98543,4.81010
-14.24750,4.86798,18.50338,27.58972,12.51121
-3.88098,4.13899,8.66465,3.40473,11.15299
-2.14913,3.79119,12.51671,14.80097,-8.14716
-6.57470,-2.99850,16.62138,19.97029,-6.86867
-8.38648,2.72049,15.78253,5.11673,11.04403
-6.61551,8.01165,7.83329,3.83189,19.43498
1.47109,-7.63222,-5.43742,2.45846,11.86157
5.84294,-6.04623,-1.60348,-1.23239,-0.81963
6.51525,-2.27394,-1.55352,-10.21533,5.68255
0.83058,0.54751,2.51525,-0.81895,6.89682
-3.58006,5.65634,11.12353,8.41976,-0.66127
1.80951,-1.77074,5.44830,-11.53954,5.22394
0.22928,3.30426,12.10863,-10.30450,0.54530
-4.02576,-0.78908,14.98303,-2.54252,2.12792
-4.33603,-9.26959,3.25038,-3.78618,17.67700
-1.87624,-2.17758,-8.38827,2.19555,17.51040
7.34393,-8.61660,-16.24807,-8.93835,12.28497
9.94162,-9.11902,-2.34077,-15.68031,4.80896
6.56128,-5.30146,4.05987,-8.69823,-3.29576
2.47750,-8.44472,-5.11179,-0.95393,-4.30035
-4.83476,-8.85710,-3.91265,7.10043,4.13093
-3.52108,-9.45402,-3.89752,4.45833,10.31719
6.42775,2.63352,-2.04967,1.87616,-5.76251
16.30051,-3.67372,-2.43169,-13.16611,-7.47853
17.57734,-20.33255,-4.28986,-27.39625,4.57929
7.79043,-8.00037,-1.14799,-11.96769,1.55025
3.74155,-2.97642,-4.59443,-6.29916,8.52427
10.56519,-10.12382,-3.15166,-13.35498,10.99100
17.47849,-17.80074,-3.13921,-14.80691,5.50951
15.46865,-10.67060,-1.08494,-17.34905,4.99117
5.17120,10.02477,10.64846,-11.24952,-5.08147
0.05893,-1.69575,2.74403,-1.25425,-5.77300
5.39129,-6.45873,-8.32910,0.72976,-0.70227
11.84688,13.43930,-7.60710,-8.58037,4.86659
10.68099,7.46820,-5.94354,-14.17983,10.71676
8.46240,-12.37328,1.20694,-4.81814,-5.13408
14.04193,-13.69106,1.32649,-3.86750,-14.33137
17.37802,5.97798,-2.76606,-7.07776,-11.39917
13.91135,7.15043,-6.63167,-2.23870,-8.98732
13.17355,-6.62043,-7.48871,-5.91749,1.52114
11.87198,1.81073,2.77806,-10.89200,2.86993
8.33834,-0.26512,0.63473,-5.44813,-1.01992
15.48944,-6.70594,-6.52592,-3.35924,-12.79868
24.30829,-2.79551,-0.90042,-13.40166,-13.07672
16.29158,-9.89030,4.38911,-18.43568,11.01503
5.87469,-3.80632,6.31439,-6.80286,1.81719
8.49599,2.95868,0.64792,1.55246,-19.54165
14.01511,-2.60858,-2.51813,-4.17236,-11.68654
17.22663,-5.09215,0.18831,-14.02525,6.66403
20.05331,-5.06680,-1.03889,-17.84269,10.96862
14.97663,7.30271,1.10419,-9.97979,-8.01183
7.19062,4.20329,-5.03610,-0.76372,-7.70036
12.89340,-5.27539,-13.09197,0.11926,-10.08937
20.16981,6.70894,-7.99625,-3.19012,-29.20183
13.10394,2.97459,-5.49013,-6.21349,-6.75088
7.99050,-7.88860,-7.02716,-7.02305,17.09807
15.65899,-5.60896,-11.59873,-8.23452,11.45902
18.72058,4.18387,-10.91269,-9.78967,-8.98758
15.37342,7.95130,-4.27755,-4.08734,-22.82950
10.69112,-11.14215,-15.13393,2.92991,-5.71728
10.02880,-9.47885,-17.86690,2.20838,-0.99538
9.47412,6.40448,-2.46298,-4.14420,-16.61074
