EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
-0.78653,6.00086,5.76595,7.77504,-13.91557
-1.98651,11.97146,11.72789,15.89822,-26.90076
-2.26401,8.16218,8.42189,11.14527,-18.95484
-2.61427,7.95198,8.61616,10.13637,-19.56603
-0.85794,7.72766,8.91832,10.19072,-17.71073
1.08947,0.98977,1.94111,2.34386,-1.27727
-0.25421,-0.13257,-0.23053,-0.12270,-0.58564
-2.82520,5.18529,5.06201,5.56624,-14.68400
-6.75250,11.58591,11.46820,13.02994,-31.57346
-8.25516,9.90326,8.92448,10.19931,-29.47041
-7.02512,4.53405,3.00488,3.54540,-16.91192
-10.09617,8.23374,7.23350,8.49925,-26.64555
-13.70688,10.88994,10.83431,11.95464,-34.75830
-12.43156,6.50285,6.92808,6.96989,-24.04982
-12.48334,3.96428,5.37731,5.27296,-17.29877
-18.21953,6.14979,8.04869,8.73092,-25.07506
-20.46220,8.47755,8.80063,10.20923,-32.66652
-15.37387,7.04409,6.41959,7.10588,-27.40736
-11.55725,5.98475,5.63525,3.84834,-24.65879
-10.95309,7.67516,5.63989,2.31678,-31.25646
-13.74746,12.20645,7.33450,6.04814,-44.20766
-19.46851,16.26770,12.49237,13.12680,-54.84692
-22.76666,13.09533,14.56337,13.84053,-46.44245
-24.86114,12.00701,16.51647,15.20785,-43.28611
-24.98344,14.02629,17.31112,17.87460,-47.31017
-16.90870,9.68213,9.97248,11.51835,-33.02577
-5.67205,9.95939,6.86290,7.70559,-29.86865
-3.12406,14.94724,9.97475,12.54786,-39.99448
-4.05148,14.91968,10.04212,16.05965,-36.93655
10.06339,14.77538,10.63100,14.42559,-29.10315
32.84694,18.01505,12.64804,11.71708,-27.94832
39.68978,19.39894,13.35165,13.04616,-26.75760
35.85986,12.87480,13.09420,13.42182,-7.76232
37.93699,8.46203,17.88892,12.48495,5.88525
36.98697,10.03699,21.17297,13.23280,0.30142
27.06807,9.94507,10.25673,9.80054,-7.05307
12.31015,11.75620,3.96462,7.02674,-23.94684
-7.97660,9.65539,8.31444,8.86211,-29.30982
-18.66656,5.32998,5.44619,9.10874,-21.43410
-21.49432,8.15565,3.84815,9.89697,-31.22369
-44.77199,7.23108,7.59138,11.98464,-41.93181
-66.54287,4.95878,7.41034,9.98688,-50.66842
-61.67512,7.69388,9.71159,6.99297,-59.82673
-64.11873,5.46625,14.35532,8.78188,-53.34803
-88.40979,0.79283,9.28939,9.80610,-51.91229
-106.44194,0.71145,-0.87489,6.72360,-64.35076
-100.87652,2.94805,0.40609,6.81756,-68.10965
-91.14084,4.88714,4.91526,8.25088,-67.51332
-101.76260,3.25906,-2.46444,6.54129,-69.35203
-116.26597,-2.37571,-7.50039,6.32945,-59.75128
-109.74234,-1.56416,-0.84714,5.91435,-59.91682
-101.00862,4.22859,3.24550,3.37212,-76.33892
-111.38728,-2.91729,-2.58398,4.74696,-57.42993
-111.68021,-10.69021,-9.49571,6.58329,-29.28727
-92.27679,-3.63136,-11.88439,2.74952,-42.87469
-90.59792,-1.48477,-12.07759,0.97900,-50.45514
-97.58880,-5.56467,-6.89091,4.36303,-39.44965
-88.92526,-3.15189,-0.58616,4.66296,-42.59813
-83.74587,-0.75176,-3.05758,1.66095,-49.51791
-85.19874,-1.39902,-3.94009,1.06854,-48.78846
-82.68338,1.94300,2.55888,1.27558,-59.04460
-75.50521,9.80686,6.07326,-0.26317,-82.01689
-60.11710,9.18116,6.82319,-0.20883,-70.14278
-46.24460,2.56730,6.56306,0.36907,-39.21777
-44.46758,6.21439,5.75877,-0.10489,-42.29054
-44.75994,6.79782,0.00302,-0.11591,-42.45566
-28.95208,0.74094,-6.29095,2.63591,-8.66030
3.24583,2.20671,-5.76779,2.51539,10.54339
25.40824,8.94150,-3.21504,-1.14662,0.38494
38.51314,10.92407,1.11144,-2.79437,-2.38486
59.71583,10.76757,8.26774,-1.36862,14.04688
72.61655,10.66980,7.74922,-0.18361,30.03595
81.14036,3.37789,4.55305,1.58350,60.59886
103.63510,-8.46992,4.04152,4.09447,109.25638
112.87759,-11.40724,1.13853,4.72785,125.81091
93.72200,-9.34118,-1.59700,4.72650,111.18613
80.94740,-10.31714,0.35759,5.72506,107.05498
75.49708,-11.72642,3.06393,6.20010,107.98036
54.00578,-11.65748,-3.14222,5.36044,94.59846
40.59600,-9.44583,-8.32024,5.58640,82.95993
33.71728,-11.53457,-0.46899,8.41959,89.00803
6.11376,-15.74047,4.22936,11.13395,85.64213
-20.72545,-12.12384,-1.88281,11.35382,61.44131
-28.09685,-8.16252,-4.96283,10.18114,48.41624
-29.71417,-11.26371,0.75420,11.72951,59.66612
-42.30666,-16.87423,1.08967,15.10799,69.55154
-55.71867,-17.07287,-10.16403,14.39166,60.25776
-49.09561,-13.51554,-14.89922,13.50468,61.26446
-41.34130,-14.28804,-12.69365,15.07565,73.66028
-48.06141,-11.66788,-14.79113,11.26630,52.48104
-49.56633,-6.12071,-12.28727,4.90593,27.13145
-40.41938,-3.80793,0.22064,7.35245,38.55921
-36.65982,-0.42645,8.34780,14.96741,51.93032
-42.31508,-6.32217,-4.73887,13.59484,51.32533
-40.46839,-14.56351,-19.30056,4.40697,51.74080
-26.83803,-6.80928,-9.33960,-1.81374,47.83028
-17.10463,2.80246,2.67844,-2.67721,40.43383
-18.99056,2.88174,0.61445,1.96333,44.96277
-28.09768,-1.72245,-4.10951,4.12107,49.29450
-22.89035,-5.52652,-4.68108,-1.11690,53.72531
0.24193,-4.32847,2.39973,-1.62486,80.70008
4.63117,-0.07314,6.40223,1.35718,89.68889
-12.16138,1.24484,1.44309,0.94610,65.78557
-10.40193,-2.89384,0.53671,1.81762,72.83701
7.93143,-3.04337,10.16459,2.93208,106.57287
8.12160,2.14341,19.45049,3.17617,103.77199
-2.61968,0.93606,15.11512,5.59890,81.89228
3.09565,-5.15734,6.25575,6.09237,95.50116
11.99558,-7.08596,-0.20969,-4.41738,109.16850
6.63459,-1.50081,-3.70715,-9.19921,93.32913
3.70982,5.81550,5.39672,8.23438,94.51476
10.88838,5.12422,10.00623,16.88920,117.87995
14.32431,-2.42091,-4.95534,4.63654,130.37378
11.77262,-7.41587,-15.38031,-3.83235,117.14630
12.19659,-1.51364,-4.24040,-5.33721,95.03037
16.73537,4.98497,8.35232,-6.93684,97.64810
16.54449,3.55283,5.41691,-4.82149,112.42838
9.67681,9.01774,2.54794,-0.73440,109.59482
9.00353,10.56382,-1.04960,-11.98269,96.85549
17.09639,5.25444,-0.32671,-22.36825,104.14875
21.30238,14.08960,23.53052,-1.28317,130.43565
20.20401,15.18364,28.06935,12.40663,135.71279
21.79847,3.63418,5.07862,-5.93094,130.52375
25.63572,3.14988,3.39941,-15.53697,140.47318
23.78905,5.18075,5.48604,-12.23543,135.70880
18.96250,3.76987,-8.05224,-18.96999,120.26502
19.30525,4.33016,-12.09735,-22.44913,123.49249
19.50570,7.37547,-4.53470,-11.39255,130.38056
7.07674,4.24339,-6.98511,-15.05140,128.29302
8.42578,-3.00732,-19.62487,-33.17171,122.61489
8.93387,-2.85448,-21.55001,-31.21765,124.85030
6.99751,6.85867,-7.51178,-16.06627,134.66290
5.66841,8.41910,-7.09668,-21.39610,130.83126
5.88843,0.14395,-20.03195,-32.98073,110.90380
4.95359,2.83554,-14.59108,-19.62937,114.93604
1.08412,15.31052,-3.06701,-0.14580,135.46029
-0.56313,9.11507,-21.24268,-13.70554,121.94491
1.12194,-1.52208,-36.14800,-31.38389,103.48621
2.57048,6.57717,-16.62996,-18.56044,118.42426
-0.50331,16.22342,-1.97475,-7.34185,127.03447
-6.00640,17.35757,-2.02348,-8.41599,113.39680
-2.88644,8.61362,-3.26896,-9.82457,102.55143
1.40002,2.55952,-10.25767,-14.83097,101.42972
-3.30206,10.64849,-5.95031,-7.44113,108.35117
-5.34613,11.57135,6.14372,8.63807,114.76762
-1.20714,3.42610,-0.79980,2.55001,108.17648
0.04500,1.09223,-16.19385,-14.91930,95.01738
-6.28079,4.72173,-13.22276,-12.75729,96.43264
-12.74476,9.38659,0.83216,-3.45934,103.22746
-7.44290,5.54363,0.26691,-7.63272,90.32149
-0.28353,-0.27622,-6.09263,-12.62411,81.40045
-3.83488,3.48075,-3.09008,-10.73181,91.44947
-8.80725,10.00769,-5.38784,-9.08423,88.97941
-6.43199,4.51869,-14.06757,-11.12782,79.24371
-4.56020,-6.54400,-12.06989,-11.46841,84.85636
-7.04503,0.54654,0.19593,-3.78070,88.75039
-2.85502,7.25768,-0.16458,-3.08147,84.12137
0.70354,-5.14315,-8.80969,-8.18268,83.58745
-7.01713,-8.38467,4.95335,1.16078,76.90977
-8.56675,-2.86429,13.27213,3.14320,62.96252
-3.35478,-7.86828,-6.02701,-11.10678,62.67654
-8.63851,-7.72312,-8.62472,-9.00459,66.52899
-18.01109,5.65049,8.84477,5.73514,54.90861
-17.95649,10.55271,9.89231,6.16880,43.10451
-12.02651,4.11938,2.06569,-0.50180,42.77948
-14.02806,7.52053,10.61874,6.48379,39.02485
-18.48134,8.99170,15.16434,8.65482,33.18831
-7.32754,-2.68284,-0.38292,-6.19339,35.86654
3.81331,-6.38367,-1.78235,-5.71007,37.24563
-6.31334,-4.61114,4.89065,-1.70801,37.22026
-12.13551,-3.50251,-7.30104,-18.34564,39.43379
1.13174,3.05287,-10.36160,-19.65245,31.43401
-2.45246,3.90818,2.08393,-0.17319,19.51455
-19.22154,-3.19337,1.73360,1.21721,22.00574
-7.11926,-5.74334,-9.58268,-11.76433,30.58723
7.41546,0.91236,-7.07144,-5.07379,22.69724
-7.69888,5.55493,10.44068,16.04263,4.94295
-11.75319,-2.04599,11.06779,18.65465,6.11476
3.03730,-4.67046,-2.21089,3.26360,16.65276
3.42695,-0.04210,1.25157,-5.51772,13.70172
1.77472,-2.12771,13.02259,1.71980,7.41971
3.80611,-0.25600,17.95495,10.40426,2.64026
-6.97804,8.01263,18.95656,7.22307,-5.26230
-9.33867,11.18884,17.20015,8.09867,-9.80083
4.01632,6.87078,11.87281,14.68120,-3.73806
3.20891,6.14848,9.90485,10.72086,0.82718
5.05813,12.37519,14.38959,9.77459,-5.07935
30.36970,12.32624,14.76273,19.83529,-5.15987
37.33761,6.59667,12.83102,22.82245,0.89132
28.29869,-3.49703,9.27424,11.28301,11.75742
49.58914,-12.58450,-1.20031,3.16821,29.47111
85.30169,-9.11142,-5.80561,9.60089,37.86456
103.56072,-5.90633,-0.69928,14.16488,30.35537
113.74250,-12.18085,5.67735,11.89374,34.40899
121.39783,-18.10590,8.81454,9.95238,38.24736
125.06559,-23.64311,-0.15780,8.66903,45.68906
138.28313,-25.86264,-6.63432,11.51926,52.02109
158.61171,-27.09365,-1.95610,14.22648,54.25089
147.49690,-25.54753,-0.04118,13.35501,48.64408
124.81850,-19.96827,-2.28000,14.30741,40.11939
123.03802,-17.05606,-8.76159,9.02332,42.63609
90.67908,-20.81224,-17.33112,-1.57009,41.83260
39.61531,-29.05995,-19.34293,-5.11988,32.79631
46.45018,-29.28903,-16.72224,-8.69226,34.31412
67.84464,-25.69749,-18.61259,-14.89106,39.69690
36.40130,-30.35624,-22.02048,-9.32295,30.32183
-6.94450,-34.72081,-19.20169,-1.18840,16.39421
-19.36322,-35.25517,-24.59430,-8.88423,18.80678
-12.49957,-29.70737,-27.99428,-9.09604,18.43241
-9.95112,-25.00404,-12.66434,2.17125,5.97560
-24.39169,-31.36245,-14.33499,-5.53791,8.89161
-37.08882,-30.90197,-28.62209,-11.92797,13.64782
-30.03715,-25.56121,-15.41755,-0.78357,2.75506
-24.67691,-27.02525,1.65562,-0.68936,-2.36489
-27.23532,-27.75490,-7.74164,-13.49007,5.53496
-21.24114,-31.06455,-19.65631,-18.28551,10.90294
-18.04218,-31.76880,-10.96832,-12.20639,5.17323
-20.68029,-27.57986,-3.98943,-14.25080,3.29396
-19.82309,-27.98974,-12.32001,-24.32011,8.84308
-18.34119,-29.47920,-11.54690,-18.09258,4.86982
-17.91290,-29.87171,-0.42155,-6.43513,-2.68595
-23.81231,-26.39619,5.93448,-5.66052,-4.54044
-22.47540,-21.22326,7.50284,-1.03227,-6.60843
-9.04431,-20.23073,2.30325,5.16373,-7.40372
-9.86936,-20.03485,-2.30050,0.56616,-4.99366
-18.36718,-17.96825,0.09668,-6.41795,-3.49984
-18.65255,-12.26016,4.58929,-6.41117,-5.24536
-12.66845,-10.56935,4.01743,-3.31759,-6.67440
-2.24669,-13.93469,-2.55771,0.95242,-5.56724
-5.65217,-8.99041,3.93382,8.14959,-7.56487
-10.93915,-4.33818,11.74900,7.03619,-9.53258
0.51985,-6.26603,-2.39341,-2.22177,-5.72671
0.20500,-6.19974,-10.57492,-1.96995,-3.24537
-6.42030,-7.17889,-4.20130,2.42545,-4.45035
6.91213,-7.79029,-7.52492,-2.58560,-4.18404
12.85004,-4.56053,-10.59198,-6.05429,-4.00106
-3.87182,-0.57996,-1.51447,-1.73457,-4.69535
-4.53793,-1.66865,-2.77734,-7.39057,-2.86460
12.36808,-5.58126,-10.83408,-17.61158,-2.04937
13.19780,-6.51357,-4.75056,-15.58508,-3.75603
14.96167,-8.50192,-9.27328,-21.33227,-2.18034
25.12904,-7.24144,-21.63775,-27.71001,-0.64153
20.54832,-6.43680,-11.63948,-10.65206,-4.43988
14.46343,-10.11700,-7.01359,-4.42294,-5.14476
17.30770,-5.04559,-17.90432,-18.79594,-0.58855
23.20009,-2.72898,-20.51513,-17.42144,-1.92526
30.20547,-11.30182,-21.66834,-9.34282,-6.44746
28.18839,-13.78307,-22.10815,-16.06458,-5.87378
20.01422,-10.29605,-15.12571,-16.67158,-5.12606
13.41912,-4.23220,-9.34897,-2.59623,-4.39005
16.61529,-2.23819,-14.35948,-3.51004,-2.84986
31.78499,-12.20826,-25.35884,-21.95681,-5.86159
29.47602,-16.13672,-19.88281,-25.03971,-8.05281
7.19190,-6.81195,-1.59816,-6.78963,-4.72538
4.43556,-4.15028,-0.28000,3.72098,-3.58897
24.06868,-13.83979,-16.12045,-11.59401,-7.11272
23.97691,-13.30966,-18.40515,-20.79958,-10.22119
10.84422,-4.12420,-5.70720,-4.74025,-5.31858
16.10251,-9.10498,-8.55394,-5.41473,-8.32549
16.45098,-8.25667,-9.63084,-14.95229,-8.24193
-0.83585,3.49292,5.84743,1.12963,-1.54235
3.71264,3.62551,1.85537,8.23885,-2.21797
21.14695,-0.53583,-15.25348,-8.84875,-6.75146
20.55067,0.66230,-16.14222,-17.06451,-6.28288
11.44370,4.82243,-9.36804,-9.54764,-2.84706
14.31748,4.82042,-11.23686,-6.38278,-3.60372
25.07640,-1.80114,-19.09539,-16.06940,-8.73586
21.67677,-4.38146,-12.79739,-16.33477,-10.23917
11.07760,0.05135,0.95479,3.42138,-7.17756
15.54755,5.75783,-7.29081,10.98070,-4.53459
28.49029,5.30633,-26.33110,-10.05244,-6.88978
31.60772,-0.01433,-24.83941,-20.54008,-11.83016
25.96097,-2.00432,-9.68878,-2.76725,-12.87093
28.92819,-4.04600,-10.56874,-1.84978,-14.34868
33.12754,-0.42725,-19.49098,-17.68575,-15.09254
20.85961,9.93815,-10.07527,-4.42522,-8.32126
16.04639,6.46170,0.12683,16.63331,-6.62894
34.76255,-8.65315,-8.32845,3.39576,-18.97606
44.94891,-17.26706,-16.91964,-19.52071,-27.74343
26.86509,-10.60022,-4.37437,-9.25768,-18.63271
13.03235,2.41361,14.62844,9.77109,-10.54673
