EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
17.87366,-6.61696,-8.19635,-3.53593,12.39807
8.88017,-8.84437,-7.08828,-9.09289,7.19834
5.36038,-10.60415,-6.51043,-11.17664,3.02533
6.82096,-16.69927,-12.10654,-11.82676,0.37295
7.04418,-17.19267,-12.39331,-9.74022,2.15175
14.43026,-6.67781,-14.00276,-2.33908,14.40198
13.95163,-12.44711,-17.64470,-7.44402,11.10682
5.98658,-20.48805,-18.96477,-7.34611,-0.63497
-5.16672,-20.49693,-20.85121,-2.63133,-9.88800
-11.43910,-20.42647,-15.87196,-3.93189,-16.40484
-4.50615,-16.13647,-12.43487,1.62624,-10.30483
-9.82315,-23.49434,-12.95567,-1.59801,-10.73536
-18.11951,-25.63621,-13.41111,-4.43678,-13.20035
-13.09392,-15.49169,-11.85010,4.52090,-6.82518
0.60889,-12.53177,-1.74468,8.22944,2.92998
18.20783,-10.55658,-4.59265,3.40103,13.44997
12.78376,-20.45426,-19.17197,-7.68622,6.11409
4.83030,-28.67720,-22.48722,-6.71231,0.81354
9.88669,-22.56692,-23.73974,-8.13968,2.26684
1.69329,-25.14543,-24.68876,-22.09583,-9.05169
-2.77791,-25.66991,-19.15009,-10.90685,-7.90927
-2.34449,-19.03188,-12.33737,2.63039,-4.04224
-2.35141,-8.84338,-11.66635,0.12878,-6.80274
7.50216,1.19037,-9.91129,7.78467,0.15549
13.58951,0.96772,1.50581,16.73352,5.08866
10.88427,0.83889,-2.38628,12.95269,4.94735
-0.31694,-7.30175,-18.38939,-3.18407,-1.34905
-0.46235,-13.48474,-16.44888,-5.56134,0.15364
13.86122,-0.98662,-6.41426,5.59482,13.58282
16.83703,-1.82815,-2.45172,-0.94119,16.91133
7.68803,-6.60831,2.61179,-5.64882,9.22613
0.69860,-0.97909,3.48086,-0.63553,1.86253
8.87468,-9.97791,-9.26881,-3.07241,6.98824
17.05077,-18.97673,-22.01849,-5.50930,12.11396
10.06133,-13.34751,-21.14942,-0.49601,4.75036
0.91233,-18.12767,-16.08590,-5.20363,-2.93485
3.88814,-18.96920,-12.12337,-11.73965,0.39366
18.21172,-6.47108,-2.08875,-0.58349,13.82284
18.06631,-12.65406,-0.14824,-2.96075,15.32554
6.86509,-20.79470,-16.15134,-19.09751,9.02914
4.15986,-20.92353,-20.04344,-22.87834,8.88782
10.24721,-21.14618,-8.62634,-13.92950,13.82100
20.10077,-11.11244,-6.87128,-6.27361,20.77923
20.09385,-0.92393,-6.20026,-8.77521,18.01873
20.52727,5.71409,0.61246,4.76202,21.88576
16.05607,5.18961,6.15113,15.95100,23.02818
7.86267,2.61110,5.20211,1.99485,11.70965
12.91906,8.72138,3.94959,0.56749,13.16295
4.96560,0.49845,0.63435,1.54139,7.86239
-0.45846,-9.39923,-13.94498,-9.54586,0.52651
17.14047,-7.42404,-16.79295,-14.37427,11.04650
30.84328,-4.46412,-6.68752,-10.66573,20.80167
35.86888,5.68039,-5.12652,-1.70805,27.17684
27.57251,3.53852,-5.58196,-4.54681,24.71185
22.25552,-3.81935,-6.10276,-7.77107,24.28132
29.18846,0.47065,-2.66567,-2.21294,30.38133
22.91608,0.54111,2.31358,-3.51350,23.86448
11.76278,0.53223,0.42714,1.20128,14.61145
