EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4
-95.99299,-43.52417,-23.07702,-41.05770,-82.72189
-123.81755,-41.95162,-13.59969,-44.21675,-99.52970
-125.61440,-34.75729,1.22766,-41.89563,-98.40927
-113.69827,-26.22667,-0.92357,-39.00038,-88.07111
-113.81034,-28.90117,-20.39187,-39.22858,-89.73673
-100.84627,-34.78191,-22.17690,-34.23808,-85.97720
-68.46602,-32.91668,-7.03441,-21.99957,-61.87198
-52.48076,-37.58114,-10.15942,-21.56804,-48.64135
-51.79640,-37.76584,-9.97890,-19.91061,-46.28140
-62.34536,-30.57763,2.88996,-11.72889,-40.52087
-72.52936,-40.84096,-2.92897,-22.38766,-44.90738
-61.78850,-45.06417,-13.99242,-38.07821,-56.29780
-76.10033,-25.86527,-9.55958,-40.48110,-70.55101
-110.93960,-12.93235,-0.39943,-36.08760,-82.67110
-92.47858,-12.06966,4.38565,-27.43811,-74.40627
-50.25832,-9.37263,9.50630,-17.08823,-55.55510
-48.24936,-8.43158,15.99650,-7.68997,-47.38058
-60.92148,-12.80733,19.79426,-0.33723,-39.44827
-48.96059,-11.42860,26.39251,7.01281,-17.64148
-27.95740,-6.85600,24.92818,8.54941,-8.37408
-24.75419,-12.95286,9.50569,-3.06799,-26.14074
-32.85018,-20.27627,1.98829,-13.70453,-36.95075
-43.93018,-16.66542,3.11950,-16.30238,-37.27515
-65.49078,-13.03885,2.08116,-21.15577,-48.89399
-71.80933,-14.96255,2.59846,-23.85795,-54.22026
-36.88740,-12.57728,12.51069,-11.75189,-34.52382
-6.16031,-5.41051,27.80565,8.24103,-10.54553
-2.25267,0.14601,31.41962,16.98162,0.40975
8.19600,1.61058,23.43041,12.49968,9.60031
1.40081,-9.17689,9.80313,5.51242,5.82872
0.69586,-13.50903,-2.96203,4.59655,8.26194
8.54644,-3.77499,-3.42889,3.39167,10.46891
-44.30607,-11.28639,0.49183,-7.61135,-36.39308
-96.49262,-18.72989,4.50395,-18.52656,-82.64988
-87.62507,-8.89216,4.17666,-19.59734,-79.51875
